index,station_complex_id,number_of_riderships,lower_bound,upper_bound
2024-04-14,611.0,85407.0,,
2024-04-15,611.0,130607.0,,
2024-04-16,611.0,151806.0,,
2024-04-17,611.0,153753.0,,
2024-04-18,611.0,151498.0,,
2024-04-19,611.0,134543.0,,
2024-04-20,611.0,106651.0,,
2024-04-21,611.0,84172.0,,
2024-04-22,611.0,122145.0,,
2024-04-23,611.0,141564.0,,
2024-04-24,611.0,149051.0,,
2024-04-25,611.0,150689.0,,
2024-04-26,611.0,131680.0,,
2024-04-27,611.0,108465.0,,
2024-04-28,611.0,88293.0,,
2024-04-29,611.0,124719.0,,
2024-04-30,611.0,144753.0,,
2024-05-01,611.0,152276.0,,
2024-05-02,611.0,149517.0,,
2024-05-03,611.0,135826.0,,
2024-05-04,611.0,108331.0,,
2024-05-05,611.0,86052.0,,
2024-05-06,611.0,129582.0,,
2024-05-07,611.0,151183.0,,
2024-05-08,611.0,155895.0,,
2024-05-09,611.0,150821.0,,
2024-05-10,611.0,135250.0,,
2024-05-11,611.0,109440.0,,
2024-05-12,611.0,81925.0,,
2024-05-13,611.0,132086.0,,
2024-05-14,611.0,154673.0,,
2024-05-15,611.0,159977.0,,
2024-05-16,611.0,155965.0,,
2024-05-17,611.0,134961.0,,
2024-05-18,611.0,110530.0,,
2024-05-19,611.0,90324.0,,
2024-05-20,611.0,130460.0,,
2024-05-21,611.0,148152.0,,
2024-05-22,611.0,154232.0,,
2024-05-23,611.0,144030.0,,
2024-05-24,611.0,129748.0,,
2024-05-25,611.0,104628.0,,
2024-05-26,611.0,92018.0,,
2024-05-27,611.0,73252.0,,
2024-05-28,611.0,143229.0,,
2024-05-29,611.0,153555.0,,
2024-05-30,611.0,146609.0,,
2024-05-31,611.0,129325.0,,
2024-06-01,611.0,100923.0,,
2024-06-02,611.0,83605.0,,
2024-06-03,611.0,128375.0,,
2024-06-04,611.0,150314.0,,
2024-06-05,611.0,152789.0,,
2024-06-06,611.0,143266.0,,
2024-06-07,611.0,136292.0,,
2024-06-08,611.0,107799.0,,
2024-06-09,611.0,86649.0,,
2024-06-10,611.0,106933.0,,
2024-06-11,611.0,149521.0,,
2024-06-12,611.0,146950.0,,
2024-06-13,611.0,147470.0,,
2024-06-14,611.0,128423.0,,
2024-06-15,611.0,99495.0,,
2024-06-16,611.0,80811.0,,
2024-06-17,611.0,126670.0,,
2024-06-18,611.0,149242.0,,
2024-06-19,611.0,116165.0,,
2024-06-20,611.0,148115.0,,
2024-06-21,611.0,128836.0,,
2024-06-22,611.0,99693.0,,
2024-06-23,611.0,82632.0,,
2024-06-24,611.0,127792.0,,
2024-06-25,611.0,147600.0,,
2024-06-26,611.0,156465.0,,
2024-06-27,611.0,147756.0,,
2024-06-28,611.0,134150.0,,
2024-06-29,611.0,107069.0,,
2024-06-30,611.0,86789.0,,
2024-07-01,611.0,127166.0,,
2024-07-02,611.0,139987.0,,
2024-07-03,611.0,133873.0,,
2024-07-04,611.0,88000.0,,
2024-07-05,611.0,98952.0,,
2024-07-06,611.0,99953.0,,
2024-07-07,611.0,82737.0,,
2024-07-08,611.0,124589.0,,
2024-07-09,611.0,144192.0,,
2024-07-10,611.0,148317.0,,
2024-07-11,611.0,145620.0,,
2024-07-12,611.0,124934.0,,
2024-07-13,611.0,96925.0,,
2024-07-14,611.0,78240.0,,
2024-07-15,611.0,125926.0,,
2024-07-16,611.0,146004.0,,
2024-07-17,611.0,148895.0,,
2024-07-18,611.0,145007.0,,
2024-07-19,611.0,126536.0,,
2024-07-20,611.0,101031.0,,
2024-07-21,611.0,86612.0,,
2024-07-22,611.0,123914.0,,
2024-07-23,611.0,145751.0,,
2024-07-24,611.0,146059.0,,
2024-07-25,611.0,145702.0,,
2024-07-26,611.0,126661.0,,
2024-07-27,611.0,101040.0,,
2024-07-28,611.0,83818.0,,
2024-07-29,611.0,124271.0,,
2024-07-30,611.0,141409.0,,
2024-07-31,611.0,142683.0,,
2024-08-01,611.0,139273.0,,
2024-08-02,611.0,121288.0,,
2024-08-03,611.0,97323.0,,
2024-08-04,611.0,78805.0,,
2024-08-05,611.0,126142.0,,
2024-08-06,611.0,141091.0,,
